"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Матрица 3: Революция";"The Matrix Revolutions";"2003";"8";"2015-01-17 19:36:15"
"Матрица 2: Перезагрузка";"The Matrix Reloaded";"2003";"7";"2015-01-17 19:36:09"
"Матрица";"The Matrix";"1999";"8";"2015-01-17 19:35:57"
"Каратель (2004)";"The Punisher";"2004";"6";"2015-01-17 19:35:39"
"Репликант";"Replicant";"2001";"4";"2015-01-17 19:35:17"
"Астерикс и Обеликс: Миссия Клеопатра";"Astérix & Obélix: Mission Cléopâtre";"2001";"4";"2015-01-17 19:35:03"
"Ангелы Чарли 2: Только вперед";"Charlie’s Angels: Full Throttle";"2003";"5";"2015-01-17 19:34:36"
"Ангел-А";"Angel-A";"2005";"6";"2015-01-17 19:34:21"
"Американский психопат";"American Psycho";"2000";"8";"2015-01-17 19:34:10"
"Американский пирог 3: Свадьба";"American Wedding";"2003";"6";"2015-01-17 19:33:57"
"Американский пирог 2";"American pie 2";"2001";"6";"2015-01-17 19:33:50"
"Американская История Икс";"American History X";"1998";"9";"2015-01-17 19:33:34"
"Альфа Дог";"Alpha Dog";"2006";"8";"2015-01-17 19:33:21"
"Алеша Попович и Тугарин Змей";"";"2004";"5";"2015-01-17 19:33:10"
"Адреналин (2006)";"Crank";"2006";"9";"2015-01-17 19:32:57"
"Автостопом по галактике";"The Hitchhiker’s Guide to the Galaxy";"2005";"8";"2015-01-17 19:32:42"
"Интервью (2014)";"The Interview";"2014";"5";"2015-01-15 17:21:48"
"Стрингер";"Nightcrawler";"2013";"8";"2015-01-13 23:13:55"
"Сын Бэтмена";"Son of Batman";"2014";"6";"2015-01-13 17:02:12"
"Игроки: Руки судьбы";"The Gamers: Hands of Fate";"2013";"5";"2015-01-11 14:09:18"
"Рыцари королевства Крутизны";"Knights of Badassdom";"2012";"5";"2015-01-11 14:05:42"
"Хочу. Не могу";"Premature";"2013";"5";"2015-01-11 13:58:22"
"Как быть мужиком";"How to Be a Man";"2013";"10";"2015-01-09 19:30:19"
"Пушки, телки и азарт";"Guns, Girls and Gambling";"2011";"5";"2015-01-09 14:40:37"
"Похмельные игры";"The Hungover Games";"2014";"5";"2015-01-09 14:33:37"
"Мультреалити";"Drawn Together";"2004";"6";"2015-01-09 13:56:02"
"Фонтан (2006)";"The Fountain, Источник";"2006";"9";"2015-01-05 21:43:07"
"Два ствола";"2 Guns";"2013";"7";"2015-01-04 18:32:39"
"Стрела";"Arrow";"2012";"7";"2015-01-03 19:36:40"
"Воздушный маршал";"Non-Stop";"2014";"7";"2015-01-03 19:15:10"
"Лок";"Locke";"2013";"5";"2015-01-03 15:56:33"
"Страна хороших деточек";"";"2013";"1";"2014-12-31 18:25:54"
"Экипаж (2012)";"Flight";"2012";"8";"2014-12-28 19:14:34"
"Лига справедливости: Новый барьер";"Justice League: The New Frontier";"2008";"5";"2014-12-26 20:37:42"
"Выживут только любовники";"Only Lovers Left Alive";"2013";"5";"2014-12-26 11:33:03"
"Ананасовый экспресс: Сижу курю";"Pineapple Express";"2008";"5";"2014-12-26 11:32:05"
"Дзифт";"Zift";"2008";"10";"2014-12-25 19:12:16"
"Константин (телесериал)";"Constantine";"2014";"7";"2014-12-23 17:28:53"
"Юная Лига Справедливости";"Young Justice";"2010";"8";"2014-12-23 17:23:27"
"Великий уравнитель";"The Equalizer";"2014";"8";"2014-12-23 15:31:43"
"Бэтмен: Нападение на Аркхэм";"Batman: Assault on Arkham";"2014";"10";"2014-12-11 16:07:45"
"Великий Гэтсби";"The Great Gatsby";"2013";"7";"2014-12-03 17:17:28"
"Робоцып";"Robot Chicken";"2005";"8";"2014-12-03 17:11:22"
